Date,Open,High,Low,Close,Volume
2025-08-01 00:00:00+05:30,227.5500030517578,238.3600006103516,227.1000061035156,229.3800048828125,22998671
2025-08-08 00:00:00+05:30,231.0,252.5,217.0800018310547,239.88999938964844,16518797
2025-08-15 00:00:00+05:30,241.0,256.95001220703125,240.9900054931641,247.50999450683597,11373479
2025-08-22 00:00:00+05:30,251.0,274.1000061035156,245.0200042724609,246.22000122070312,24316808
2025-08-29 00:00:00+05:30,246.47000122070312,247.0,215.69000244140625,219.72000122070312,5902515
2025-09-05 00:00:00+05:30,219.72000122070312,244.77999877929688,219.5,230.52999877929688,4856940
2025-09-12 00:00:00+05:30,231.8000030517578,234.3999938964844,222.2400054931641,223.6100006103516,2022274
2025-09-19 00:00:00+05:30,223.6100006103516,224.5,218.55999755859372,222.6000061035156,1654291
2025-09-26 00:00:00+05:30,222.6000061035156,228.4499969482422,200.0200042724609,218.3300018310547,3572182
2025-10-03 00:00:00+05:30,219.17999267578125,219.6300048828125,204.1999969482422,213.5,1366397
2025-10-10 00:00:00+05:30,211.0,231.88999938964844,204.25,214.1300048828125,4946666
2025-10-17 00:00:00+05:30,215.0,221.5,195.4199981689453,205.0,2859177
2025-10-24 00:00:00+05:30,207.9900054931641,208.9900054931641,197.5200042724609,199.6199951171875,1089493
2025-10-31 00:00:00+05:30,199.8000030517578,243.8500061035156,199.7899932861328,238.19000244140625,8919058
2025-11-07 00:00:00+05:30,244.75,249.0,226.1000061035156,232.82000732421875,9351404
2025-11-14 00:00:00+05:30,233.5,235.7899932861328,222.0,227.6199951171875,3060502
2025-11-21 00:00:00+05:30,228.3000030517578,232.5,216.6000061035156,220.6699981689453,1928306
2025-11-28 00:00:00+05:30,220.9900054931641,221.1999969482422,207.25,212.83999633789065,1426384
2025-12-05 00:00:00+05:30,212.83999633789065,214.8699951171875,195.0,200.1000061035156,1306765
2025-12-12 00:00:00+05:30,203.38999938964844,205.0,190.22000122070312,193.9199981689453,1478958
2025-12-19 00:00:00+05:30,193.9199981689453,198.5,184.1000061035156,193.1300048828125,772295
2025-12-26 00:00:00+05:30,194.6999969482422,199.1999969482422,185.6300048828125,188.3699951171875,897733
2026-01-02 00:00:00+05:30,189.9900054931641,191.88999938964844,185.0,190.47999572753903,1430828
2026-01-09 00:00:00+05:30,191.1000061035156,194.3000030517578,188.5200042724609,191.8600006103516,631989
