Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-12 00:00:00+05:30,112.0,134.39999389648438,112.0,131.3300018310547,523838472,0.0,0.0
2025-11-13 00:00:00+05:30,131.0,153.5,129.5500030517578,137.69000244140625,535192240,0.0,0.0
2025-11-14 00:00:00+05:30,142.6999969482422,149.99000549316406,140.02999877929688,148.52999877929688,250139103,0.0,0.0
2025-11-17 00:00:00+05:30,154.14999389648438,178.22999572753906,152.25,174.4499969482422,466421770,0.0,0.0
2025-11-18 00:00:00+05:30,185.0,193.8000030517578,179.5,188.77000427246094,463399294,0.0,0.0
2025-11-19 00:00:00+05:30,187.99000549316406,187.99000549316406,169.88999938964844,169.88999938964844,142472507,0.0,0.0
2025-11-20 00:00:00+05:30,157.5500030517578,162.27000427246094,153.10000610351562,156.7100067138672,121442958,0.0,0.0
2025-11-21 00:00:00+05:30,156.02000427246094,168.38999938964844,155.60000610351562,157.83999633789062,182611278,0.0,0.0
2025-11-24 00:00:00+05:30,159.25999450683594,163.3800048828125,150.0,151.8000030517578,91853111,0.0,0.0
2025-11-25 00:00:00+05:30,152.5500030517578,163.1999969482422,152.5500030517578,161.1199951171875,91511871,0.0,0.0
2025-11-26 00:00:00+05:30,161.99000549316406,165.4499969482422,158.8800048828125,162.88999938964844,67776516,0.0,0.0
2025-11-27 00:00:00+05:30,164.1999969482422,164.47999572753906,159.14999389648438,160.24000549316406,29835924,0.0,0.0
2025-11-28 00:00:00+05:30,160.2899932861328,163.25,158.10000610351562,158.8800048828125,23324297,0.0,0.0
2025-12-01 00:00:00+05:30,160.0,161.9499969482422,155.8000030517578,157.3300018310547,26373071,0.0,0.0
2025-12-02 00:00:00+05:30,157.47000122070312,160.4499969482422,156.88999938964844,157.83999633789062,17154364,0.0,0.0
2025-12-03 00:00:00+05:30,158.8000030517578,159.6999969482422,153.50999450683594,154.7899932861328,17349565,0.0,0.0
2025-12-04 00:00:00+05:30,154.60000610351562,154.89999389648438,142.91000366210938,145.36000061035156,44380853,0.0,0.0
2025-12-05 00:00:00+05:30,146.24000549316406,152.9499969482422,146.2100067138672,151.17999267578125,53444345,0.0,0.0
2025-12-08 00:00:00+05:30,151.60000610351562,157.5,149.0399932861328,151.63999938964844,80209990,0.0,0.0
2025-12-09 00:00:00+05:30,152.0,152.2899932861328,144.1999969482422,149.4499969482422,50413777,0.0,0.0
2025-12-10 00:00:00+05:30,147.60000610351562,148.3000030517578,142.11000061035156,145.9600067138672,63196249,0.0,0.0
2025-12-11 00:00:00+05:30,145.75,149.60000610351562,144.14999389648438,145.4499969482422,27015806,0.0,0.0
2025-12-12 00:00:00+05:30,146.0,146.8300018310547,143.9600067138672,145.1300048828125,23318949,0.0,0.0
2025-12-15 00:00:00+05:30,144.99000549316406,147.25,144.0,145.86000061035156,14822676,0.0,0.0
2025-12-16 00:00:00+05:30,146.0,146.6699981689453,143.1999969482422,144.25,15200310,0.0,0.0
2025-12-17 00:00:00+05:30,144.25,144.5,142.39999389648438,142.9199981689453,11779051,0.0,0.0
2025-12-18 00:00:00+05:30,142.9199981689453,146.75,142.89999389648438,144.11000061035156,16804524,0.0,0.0
2025-12-19 00:00:00+05:30,145.3000030517578,163.5,143.52000427246094,160.8699951171875,197195933,0.0,0.0
2025-12-22 00:00:00+05:30,164.7100067138672,172.5,162.14999389648438,166.1300048828125,160580583,0.0,0.0
2025-12-23 00:00:00+05:30,163.25999450683594,167.10000610351562,160.02999877929688,160.82000732421875,62417288,0.0,0.0
2025-12-24 00:00:00+05:30,161.60000610351562,175.5,160.30999755859375,163.6300048828125,156138198,0.0,0.0
2025-12-25 00:00:00+05:30,163.6300048828125,163.6300048828125,163.6300048828125,163.6300048828125,0,0.0,0.0
2025-12-26 00:00:00+05:30,164.88999938964844,167.6999969482422,163.89999389648438,165.22999572753906,53750534,0.0,0.0
2025-12-29 00:00:00+05:30,165.60000610351562,166.83999633789062,160.1999969482422,162.11000061035156,25285817,0.0,0.0
2025-12-30 00:00:00+05:30,162.1999969482422,164.11000061035156,158.5,159.9499969482422,17524476,0.0,0.0
2025-12-31 00:00:00+05:30,160.0,160.1999969482422,154.8000030517578,156.1699981689453,22229027,0.0,0.0
2026-01-01 00:00:00+05:30,156.22999572753906,157.10000610351562,153.9199981689453,155.3000030517578,10837426,0.0,0.0
2026-01-02 00:00:00+05:30,155.60000610351562,157.0500030517578,153.4499969482422,155.19000244140625,18307846,0.0,0.0
2026-01-05 00:00:00+05:30,155.0,156.97999572753906,152.6199951171875,155.52999877929688,16313291,0.0,0.0
2026-01-06 00:00:00+05:30,157.0,159.6999969482422,154.55999755859375,155.30999755859375,21986083,0.0,0.0
